scattering,M,S,iterationN,e_RSI_N
isotropic,64,4,14,0.212127
isotropic,64,8,14,0.326901
isotropic,64,16,14,0.190044
isotropic,64,32,14,0.20531
isotropic,64,64,14,0.125028
isotropic,64,128,14,0.0769035
isotropic,64,256,14,0.0450353
isotropic,64,512,14,0.0313963
isotropic,64,1024,14,0.0269353
isotropic,64,2048,14,0.0193413
isotropic,256,4,14,0.53443
isotropic,256,8,14,0.378043
isotropic,256,16,14,0.381394
isotropic,256,32,14,0.250501
isotropic,256,64,14,0.120634
isotropic,256,128,14,0.0917185
isotropic,256,256,14,0.0715745
isotropic,256,512,14,0.0529367
isotropic,256,1024,14,0.0280005
isotropic,256,2048,14,0.0214219
anisotropic,64,4,14,0.441649
anisotropic,64,8,14,0.416395
anisotropic,64,16,14,0.436874
anisotropic,64,32,14,0.343069
anisotropic,64,64,14,0.071418
anisotropic,64,128,14,0.124236
anisotropic,64,256,14,0.074043
anisotropic,64,512,14,0.0709433
anisotropic,64,1024,14,0.0404438
anisotropic,64,2048,14,0.0417147
anisotropic,256,4,14,0.905464
anisotropic,256,8,14,0.500419
anisotropic,256,16,14,0.207202
anisotropic,256,32,14,0.143798
anisotropic,256,64,14,0.0814621
anisotropic,256,128,14,0.0589638
anisotropic,256,256,14,0.0414657
anisotropic,256,512,14,0.0755842
anisotropic,256,1024,14,0.0562659
anisotropic,256,2048,14,0.0332097
