cell_id,x,y,z,phi0
0,0.0862185,0.0853109,0.501691,0.0442226
1,0.973065,0.791193,0.619736,0.0299879
2,0.973065,0.840942,0.513537,0.0262847
3,0.94613,0.75342,0.852998,0.0313222
4,0.973065,0.832451,0.617135,0.0273395
5,0.686144,0.091882,0.848965,0.215095
6,0.231717,0.868283,0.822998,0.02419
7,0.979665,0.931553,0.979665,0.0175686
8,0.255787,0.0306273,0.538735,0.0821864
9,0.395218,0.734789,0.0299602,0.0530949
10,0.167794,0.143817,0.482074,0.0833641
11,0.689835,0.282318,0.812345,0.203589
12,0.62216,0.360849,0.645871,0.229009
13,0.979665,0.0684473,0.979665,0.0285496
14,0.0790521,0.0537445,0.668855,0.0365855
15,0.0938836,0.48552,0.581511,0.0600928
16,0.754441,0.0537445,0.949127,0.095309
17,0.189102,0.69782,0.822998,0.0353109
18,0.700489,0.846975,0.22638,0.0375826
19,0.979665,0.979665,0.931553,0.0142593
20,0.0546477,0.94705,0.18951,0.0171361
21,0.3923,0.0612547,0.628272,0.571575
22,0.210409,0.165125,0.60992,0.156198
23,0.0938836,0.706533,0.307737,0.0350266
24,0.919195,0.401255,0.414015,0.0700729
25,0.860298,0.410165,0.386188,0.0961348
26,0.439946,0.754522,0.915191,0.0414033
27,0.15714,0.815013,0.151802,0.0262167
28,0.756777,0.917193,0.49755,0.0288709
29,0.34718,0.942869,0.971034,0.0228191
30,0.976589,0.0244015,0.388677,0.030672
31,0.809793,0.469906,0.100534,0.0621071
32,0.0224111,0.953588,0.864618,0.0143057
33,0.817682,0.239702,0.684498,0.146084
34,0.284987,0.26101,0.727113,0.202109
35,0.349777,0.944795,0.81536,0.0275096
36,0.919195,0.744345,0.759856,0.0355702
37,0.874397,0.917193,0.174247,0.0192493
38,0.253025,0.229048,0.695152,0.140012
39,0.306295,0.197087,0.194418,0.25955
40,0.973065,0.639919,0.799256,0.0385425
41,0.309752,0.944232,0.893291,0.0233925
42,0.78572,0.250356,0.695152,0.171882
43,0.146486,0.825667,0.737767,0.0308267
44,0.975349,0.50072,0.975397,0.0409398
45,0.324298,0.972398,0.708908,0.0269199
46,0.0938836,0.663337,0.197694,0.0424742
47,0.231239,0.972398,0.121787,0.022444
48,0.316948,0.783052,0.737767,0.0435116
49,0.325274,0.917193,0.574336,0.0337135
50,0.793117,0.972398,0.596972,0.023264
51,0.14061,0.825872,0.69496,0.030326
52,0.0312945,0.706591,0.214168,0.0345959
53,0.349684,0.944795,0.628272,0.0286853
54,0.455449,0.687166,0.85496,0.0516284
55,0.280894,0.839172,0.523397,0.0323814
56,0.38858,0.0306273,0.735591,0.391084
57,0.231717,0.846975,0.780383,0.0255501
58,0.253025,0.250356,0.865614,0.151176
59,0.686964,0.917193,0.568147,0.0368526
60,0.485239,0.259932,0.904538,0.233759
61,0.749505,0.972398,0.460717,0.0261196
62,0.125909,0.0612547,0.853059,0.0446878
63,0.062589,0.139801,0.833958,0.0337571
64,0.658489,0.660251,0.915191,0.0533799
65,0.657873,0.783052,0.41815,0.0498453
66,0.94613,0.343985,0.852444,0.0511824
67,0.919195,0.58505,0.834045,0.0457669
68,0.635923,0.506991,0.943461,0.0878966
69,0.606835,0.091882,0.483508,0.748484
70,0.54068,0.857629,0.343573,0.0387649
71,0.160743,0.091882,0.499301,0.0698024
72,0.423487,0.165125,0.396842,0.56492
73,0.629154,0.944795,0.420224,0.0312476
74,0.062589,0.42249,0.582344,0.05998
75,0.266477,0.921259,0.083041,0.0266736
76,0.94613,0.0853109,0.319237,0.0438801
77,0.973065,0.883658,0.88497,0.0222238
78,0.293434,0.972398,0.212514,0.0284257
79,0.253025,0.846975,0.141148,0.031799
80,0.274333,0.868283,0.268995,0.0291181
81,0.054924,0.947091,0.476387,0.0180931
82,0.83899,0.623243,0.727113,0.0460916
83,0.242371,0.218395,0.17311,0.155425
84,0.33324,0.785955,0.0599203,0.0415483
85,0.34891,0.772398,0.130495,0.0456246
86,0.550881,0.917193,0.355753,0.0364523
87,0.421513,0.301525,0.518221,0.296315
88,0.601757,0.89001,0.0599203,0.0318424
89,0.550881,0.917193,0.398369,0.0381967
90,0.606835,0.917193,0.440892,0.0392579
91,0.973065,0.725277,0.832863,0.0335316
92,0.585073,0.944795,0.421111,0.0341384
93,0.664836,0.917193,0.848965,0.0297308
94,0.284987,0.836321,0.684498,0.0314004
95,0.881606,0.410165,0.66319,0.0766719
96,0.689835,0.580627,0.130495,0.0716925
97,0.908541,0.412836,0.83851,0.0563474
98,0.860298,0.218395,0.684498,0.0902611
99,0.83899,0.239702,0.705806,0.103029
100,0.94613,0.225104,0.41616,0.0561657
101,0.686144,0.917193,0.827657,0.0296242
102,0.85159,0.091882,0.318004,0.0679129
103,0.665657,0.506225,0.915191,0.0803233
104,0.684994,0.944795,0.875939,0.0272905
105,0.124046,0.0306273,0.21794,0.0401059
106,0.135832,0.474088,0.514035,0.0835584
107,0.800591,0.972398,0.639251,0.0225474
108,0.0312945,0.881173,0.656158,0.0191917
